"","Age1","Age2","Liberty","Length1","Length2","Sex","Area1","Date0","Date1","Date2","release.weight","weight","distance"
"2511",15.0336307481126,16,0.96636925188744,137,135,2,2,1990-12-25 00:00:00,2006-12-25,2007-12-12,27.7,21,53.535352741612
"2521",20.0363761153054,21,0.963623884694578,123,127,2,2,1985-12-26 00:00:00,2006-12-26,2007-12-12,23.5,18.57,54.2266806257953
"2541",18.0480439258751,20,1.95195607412491,143,145,2,2,1986-01-01 00:00:00,2006-01-01,2007-12-13,42,27,0
"2551",7.9910775566232,11,3.0089224433768,97,104,2,4,1994-01-06 00:00:00,2005-01-06,2008-01-07,8,17,83.7301601410964
"2561",9.09608785175017,13,3.90391214824983,63,113,2,4,1991-02-27 00:00:00,2004-02-27,2008-01-19,2.4,17,1007.68236067557
"2571",8.92518874399451,12,3.07481125600549,78,117,1,4,1992-12-26 00:00:00,2004-12-26,2008-01-20,10.8,18,26.602972735256
"2581",17.9251887439945,21,3.07481125600549,78,144,2,4,1983-12-26 00:00:00,2004-12-26,2008-01-20,10.8,18,26.602972735256
"2591",9.10569663692519,15,5.89430336307481,97,123,2,4,1987-03-06 23:00:00,2002-03-07,2008-01-22,10.9,27.5,9.94552696377124
"2611",10.9752916952642,15,4.02470830473576,98,121,1,4,1989-01-17 00:00:00,2004-01-17,2008-01-22,10.6858902290312,22.9,50.3745182352886
"2621",10.01921757035,14,3.98078242964997,87,101,2,4,1990-02-02 00:00:00,2004-02-02,2008-01-22,7.43767291781622,13.4,75.1868427166356
"2631",12.9869595058339,14,1.01304049416609,134,141,1,4,1993-01-18 00:00:00,2007-01-18,2008-01-22,30.5,27,4.64219633051425
"2641",9.97254632807138,14,4.02745367192862,100,117,1,4,1990-01-16 00:00:00,2004-01-16,2008-01-22,11.3635705303705,19.5,50.9007922166754
"2651",11.9492107069321,14,2.05078929306795,110,122,2,4,1992-01-05 00:00:00,2006-01-05,2008-01-22,15.1878599797494,21.9,26.3371775328547
"2661",9.01853122855182,12,2.98146877144818,96,116,2,4,1993-01-31 00:00:00,2005-01-31,2008-01-22,9.71,16.4,229.896530569738
"2671",6.94577899794097,8,1.05422100205903,89,91,2,4,1999-01-05 00:00:00,2007-01-05,2008-01-24,7.97038799769218,8,48.8249871704965
"2681",13.9766643788607,16,2.02333562113933,144,141,1,4,1990-01-17 00:00:00,2006-01-17,2008-01-24,32.2,32,6.5893649700087
"2691",6.92244337680165,10,3.07755662319835,96,112,1,4,1995-01-01 00:00:00,2005-01-01,2008-01-27,9.5,14,36.1145098283013
"2701",4.95607412491421,9,4.04392587508579,86,113,2,4,1995-01-15 00:00:00,2004-01-15,2008-01-27,8.5,16,48.4387888414708
"2731",10.9787234042553,16,5.02127659574468,99,117,1,4,1987-02-09 00:00:00,2003-02-09,2008-02-12,13,18,3.47354423609724
"2851",12.984214138641,14,1.01578586135896,126,130,1,4,1993-01-27 00:00:00,2007-01-27,2008-02-01,22.9614954172926,22.5,36.0192971714525
"2861",8.99794097460535,10,1.00205902539465,88,96,1,4,1997-02-01 00:00:00,2007-02-01,2008-02-01,7.70093786063169,10,24.7588116591132
"2881",11.8943033630748,14,2.10569663692519,97,97,2,4,1991-12-26 00:00:00,2005-12-26,2008-02-01,10.8,13.5,49.1724705835319
"2901",9.94577899794097,11,1.05422100205903,100,108,1,4,1996-01-13 00:00:00,2007-01-13,2008-02-01,14.1,15.5,18.5141798902144
"2911",16.910775566232,19,2.08922443376802,118,123,1,4,1987-01-01 00:00:00,2006-01-01,2008-02-01,22.5,23,83.2177709874427
"2921",9.99039121482498,16,6.00960878517502,94,127,1,4,1986-02-03 00:00:00,2002-02-03,2008-02-01,12.1,25,51.4153666951581
"2931",7.87234042553191,10,2.12765957446809,82,95,1,4,1995-12-18 00:00:00,2005-12-18,2008-02-01,6.5,10,21.5436196271077
"2941",5.94303363074811,7,1.05696636925189,82,83,1,4,2000-01-12 00:00:00,2007-01-12,2008-02-01,6.21156083398798,8,13.6013178139359
"2951",8.89224433768016,12,3.10775566231984,91,116,1,4,1992-12-26 00:00:00,2004-12-26,2008-02-01,9.6,16.5,66.1279814668407
"2961",6.94303363074811,8,1.05696636925189,90,94,1,4,1999-01-13 00:00:00,2007-01-13,2008-02-02,9.8,9,16.9578279704118
"3021",9.91420727522306,13,3.08579272477694,113,123,1,4,1992-01-10 00:00:00,2005-01-10,2008-02-08,16.7,20,22.3308265708975
"3041",13.8888126286891,16,2.11118737131091,123,127,1,4,1989-12-31 00:00:00,2005-12-31,2008-02-08,19,23.5,73.0067515860499
"3061",6.9114619080302,10,3.0885380919698,93,108,2,4,1995-01-10 00:00:00,2005-01-10,2008-02-09,9.73,16,15.5639979198592
"3091",8.91008922443377,10,1.08991077556623,106,107,1,4,1997-01-10 00:00:00,2007-01-10,2008-02-11,13.5686028109452,14.5,9.24293151694027
"3101",3.96705559368566,8,4.03294440631434,58,91,1,4,1996-02-04 00:00:00,2004-02-04,2008-02-12,1.6,9,9.42811678463358
"3121",11.904598490048,13,1.09540150995196,108,113,1,4,1994-01-10 00:00:00,2007-01-10,2008-02-13,16.1,16.5,1.27207405777866
"3131",9.89910775566232,11,1.10089224433768,107,109,1,4,1996-01-09 00:00:00,2007-01-09,2008-02-14,13.9619656454189,14,32.776107997602
"3141",10.8915579958819,13,2.10844200411805,122,131,2,4,1993-01-07 00:00:00,2006-01-07,2008-02-14,22,25.5,10.2601136327578
"3151",12.9080301990391,15,2.09196980096088,135,142,1,4,1991-01-15 00:00:00,2006-01-15,2008-02-16,26,30,48.0428333553247
"3161",13.8586135895676,16,2.1413864104324,133,137,1,4,1989-12-28 00:00:00,2005-12-28,2008-02-16,32.3,35.5,60.9681537063558
"3211",11.0562800274537,13,1.94371997254633,112,117,1,4,1994-02-01 00:00:00,2007-02-01,2009-01-09,16.044034682208,19.08,13.3720466834657
"3221",9.98078242964997,14,4.01921757035003,104,120,2,4,1991-01-07 00:00:00,2005-01-07,2009-01-10,11.45,18.6,37.654896563835
"3231",7.05010295126973,12,4.94989704873027,94,123,2,4,1992-02-03 00:00:00,2004-02-03,2009-01-10,9.7,19.6,46.8573878662476
"3261",8.16129032258064,15,6.83870967741935,101,141,1,4,1987-03-06 23:00:00,2002-03-07,2008-12-31,12.6,32,50.9855757895297
"3281",7.01098146877145,11,3.98901853122855,86,109,1,4,1994-01-09 00:00:00,2005-01-09,2009-01-01,7.61,20,40.5385987798316
"3291",11.0590253946465,13,1.94097460535347,95,102,2,4,1994-01-25 00:00:00,2007-01-25,2009-01-01,9.72108895104122,14,107.139854173853
"3301",9.00549073438572,13,3.99450926561428,97,116,2,4,1992-01-09 00:00:00,2005-01-09,2009-01-03,11.4,17.5,55.9953405953997
"3311",13.9986273164036,16,2.00137268359643,127,135,1,4,1991-01-06 00:00:00,2007-01-06,2009-01-04,23.5206489343733,27,151.898025535711
"3341",9.00686341798215,11,1.99313658201784,79,87,1,4,1996-01-10 00:00:00,2007-01-10,2009-01-05,5.8,9,44.8315800056315
"3371",6.96156485929993,11,4.03843514070007,89,85,1,4,1993-12-30 00:00:00,2004-12-30,2009-01-09,9.1,14.5,48.2456997020243
"3401",12.0178448867536,18,5.9821551132464,100,127,1,4,1985-01-28 00:00:00,2003-01-28,2009-01-15,10.2,22.5,20.5381123301704
"3421",13.9691146190803,17,3.0308853809197,126,152,1,4,1989-01-09 00:00:00,2006-01-09,2009-01-17,28.8,37.5,16.3597588524051
"3431",8.94715168153741,12,3.05284831846259,115,128,1,4,1994-01-01 00:00:00,2006-01-01,2009-01-17,17.3881463500608,22,34.5246983675051
"3451",9.97117364447495,12,2.02882635552505,96,104,2,4,1995-01-10 00:00:00,2007-01-10,2009-01-18,10.0358917126032,14.5,28.2703934468274
"3461",6.97666437886067,9,2.02333562113933,93,104,2,4,1998-01-13 00:00:00,2007-01-13,2009-01-19,8.9,12,11.1737511597064
"3571",9.10501029512697,14,4.89498970487303,83,110,1,5,1990-02-21 00:00:00,2004-02-21,2009-01-08,7,14,6.7384369972936
"3601",7.02608098833219,9,1.97391901166781,98,102,1,5,1998-01-21 00:00:00,2007-01-21,2009-01-09,10.6858902290312,13,37.7558726235662
"3611",14.9910775566232,18,3.0089224433768,130,141,1,5,1988-01-10 00:00:00,2006-01-10,2009-01-10,25.2528288799857,34.5,10.8124289536761
"3621",14.015785861359,17,2.98421413864104,120,138,1,5,1989-01-19 00:00:00,2006-01-19,2009-01-10,19.7928772912397,35,26.9743624555776
"3631",15.0075497597804,18,2.99245024021963,130,143,1,5,1988-01-17 00:00:00,2006-01-17,2009-01-11,25.2528288799857,47,88.6301131000007
"3661",14.0844200411805,21,6.91557995881949,68,149,2,5,1981-02-20 00:00:00,2002-02-20,2009-01-13,3.25,42.5,208.807193309011
"3681",11.1365820178449,18,6.86341798215511,98,133,1,5,1984-03-13 23:00:00,2002-03-14,2009-01-16,11.9,29,51.823138753536
"3691",12.9526424159231,16,3.04735758407687,132,145,1,5,1990-01-04 00:00:00,2006-01-04,2009-01-18,26.4539607592779,42,94.454911875075
"3701",8.9293067947838,14,5.0706932052162,100,129,1,5,1989-12-29 00:00:00,2003-12-29,2009-01-18,10.96,25,138.531124774646
"3721",8.0885380919698,13,4.9114619080302,92.4,118,2,5,1991-02-08 00:00:00,2004-02-08,2009-01-01,9.8,20,32.1847760750273
"3731",13.9993136582018,17,3.00068634179822,146,147,1,5,1989-01-04 00:00:00,2006-01-04,2009-01-01,35.9530035993231,44.5,25.7220757656653
"3741",8.94715168153741,12,3.05284831846259,103,113,1,5,1993-12-22 00:00:00,2005-12-22,2009-01-07,11.5,16.5,195.680936747548
"4121",9.04461221688401,14,4.95538778311599,91,123,2,5,1991-01-16 00:00:00,2005-01-16,2009-12-26,8.87,20.5,149.733351266356
"4131",11.0137268359643,15,3.98627316403569,141,155,2,5,1991-01-04 00:00:00,2006-01-04,2009-12-26,32.3351205668421,49,106.53305508635
"4151",9.05833905284832,14,4.94166094715168,92,120,2,5,1991-01-24 00:00:00,2005-01-24,2009-12-29,9,20.5,229.262449932469
"4161",11.0247083047358,15,3.97529169526424,105,130,1,5,1991-01-16 00:00:00,2006-01-16,2010-01-03,13.1827509875317,24.35,130.849870239621
"4181",5.01441317776253,10,4.98558682223747,74,85,2,5,1995-01-20 00:00:00,2005-01-20,2010-01-10,4.44,6.5,104.680197827195
"4191",8.99725463280714,13,4.00274536719286,135,141,1,5,1993-01-17 00:00:00,2006-01-17,2010-01-14,28.3266690841687,35,8.63338972932403
"4231",7.00617707618394,12,4.99382292381606,54,129,1,5,1993-01-25 00:00:00,2005-01-25,2010-01-18,1.4,21.15,4.31934178273957
"4241",17.0089224433768,22,4.9910775566232,127,150,1,5,1983-01-26 00:00:00,2005-01-26,2010-01-18,24.4,41.5,1.72449829466965
"4281",8.90734385724091,14,5.09265614275909,119,127,1,4,1990-12-25 00:00:00,2004-12-25,2010-01-23,17,22.4,125.679878783125
"4291",7.93067947838023,11,3.06932052161977,90,110,2,4,1996-01-02 00:00:00,2007-01-02,2010-01-24,9.2,14,1.55781934620168
"4301",6.89567604667124,11,4.10432395332876,79,95,1,4,1994-12-22 00:00:00,2005-12-22,2010-01-25,7,11.5,73.8639977778436
"4381",11.9210706932052,17,5.07892930679478,110,126,2,4,1988-01-10 00:00:00,2005-01-10,2010-02-03,14.3,23,30.0857532406382
"4401",6.93205216197666,12,5.06794783802334,68,111,1,4,1993-01-14 00:00:00,2005-01-14,2010-02-03,4.5,14,224.260718940459
"4461",10.0137268359643,14,3.98627316403569,111,127,1,5,1992-01-04 00:00:00,2006-01-04,2009-12-26,15.6,25,2.96682284847006
"4491",12.025394646534,17,4.97460535346603,107,132,1,5,1988-01-25 00:00:00,2005-01-25,2010-01-11,15.3,28.5,4.66342908867548
"4511",5.94028826355525,11,5.05971173644475,74,83,1,5,1993-12-27 00:00:00,2004-12-27,2010-01-13,4.23,12.5,152.508871397194
"4521",8.05078929306795,14,5.94921070693205,92,134,1,5,1990-02-09 00:00:00,2004-02-09,2010-01-15,13,25,29.3605993496415
"4531",8.02814001372684,13,4.97185998627316,88,119,1,5,1992-01-31 00:00:00,2005-01-31,2010-01-16,8.29,19.5,145.136114244189
"4541",11.0947151681537,17,5.90528483184626,98,134,1,5,1987-02-26 00:00:00,2004-02-26,2010-01-16,13,30.5,6.62661024226397
"4571",6.00960878517502,12,5.99039121482498,81,105.5,2,5,1992-02-03 00:00:00,2004-02-03,2010-01-24,7.1,16,178.047390899447
"4581",7.98970487302677,13,5.01029512697323,74,96,1,5,1992-01-30 00:00:00,2005-01-30,2010-01-29,5.33,13.5,91.241026436203
"4621",11.9581331503089,15,3.04186684969115,85,100.5,1,5,1992-01-25 00:00:00,2007-01-25,2010-02-06,6.92940532851927,9,158.872832284438
"4631",9.95264241592313,13,3.04735758407687,87,107.5,2,5,1994-01-24 00:00:00,2007-01-24,2010-02-07,8.7,9,23.4821444511436
"4661",9.06726149622512,15,5.93273850377488,93,109,2,4,1989-01-17 00:00:00,2004-01-17,2009-12-17,9.11150836713994,21,33.2459688251568
"4681",11.0514756348662,14,2.94852436513384,106,113,1,4,1993-01-13 00:00:00,2007-01-13,2009-12-22,13.5686028109452,16.4,40.3380034184512
"4691",9.08442004118051,16,6.91557995881949,100,135,2,4,1987-01-31 00:00:00,2003-01-31,2009-12-24,9.6,26.9,12.6127092906823
"4701",11.0212765957447,14,2.97872340425532,111,122,1,4,1993-01-04 00:00:00,2007-01-04,2009-12-24,15.6120067725881,22.5,19.6776779661099
"4711",4.05422100205903,7,2.94577899794097,80,87,1,4,2000-01-16 00:00:00,2007-01-16,2009-12-24,5.9,7.6,49.4583323806055
"4721",15.0981468771448,18,2.90185312285518,125,136,1,4,1989-02-01 00:00:00,2007-02-01,2009-12-24,22.4113375810457,30.5,48.5693602781634
"4741",6.98627316403569,11,4.01372683596431,85,107,1,4,1994-12-23 00:00:00,2005-12-23,2009-12-24,7.2,15,96.4833902105332
"4791",9.98146877144818,15,5.01853122855182,108,131,2,4,1989-12-26 00:00:00,2004-12-26,2009-12-28,16,27.2,117.523614723666
"4801",7.02951269732327,10,2.97048730267673,94,99,2,4,1997-01-11 00:00:00,2007-01-11,2009-12-28,9.41298569492856,10.1,5.40767607425605
"4831",7.99382292381606,11,3.00617707618394,92,104,1,4,1996-01-03 00:00:00,2007-01-03,2010-01-02,8.81658342465165,12.7,1.01972883964545
"4861",4.00823610157859,8,3.99176389842141,98,114,2,5,1998-01-18 00:00:00,2006-01-18,2010-01-11,7.5,16.7,40.830440238926
"4871",4.99519560741249,10,5.00480439258751,62,119,2,5,1995-01-16 00:00:00,2005-01-16,2010-01-13,2.2,22.6,54.2165756554881
"4881",10.0487302676733,13,2.9512697323267,114,125,1,4,1994-01-09 00:00:00,2007-01-09,2009-12-19,16.9320303183714,25,78.5341402154181
"4921",20.0274536719286,24,3.97254632807138,151,153,2,4,1982-01-06 00:00:00,2006-01-06,2009-12-23,42.8,30,46.3388255651492
"4931",8.03500343170899,11,2.96499656829101,91,109,2,4,1996-01-10 00:00:00,2007-01-10,2009-12-25,10.7,14,40.0942124368597
"4941",9.02814001372684,14,4.97185998627316,101,125,2,4,1991-01-09 00:00:00,2005-01-09,2009-12-25,13.2,22,49.3263209009502
"4951",9.04049416609472,12,2.95950583390528,87,112,2,4,1995-01-12 00:00:00,2007-01-12,2009-12-25,9.8,15.5,24.251194490045
"4961",2.03157172271791,8,5.96842827728209,74,106,2,4,1996-01-12 00:00:00,2004-01-12,2009-12-25,5.4,12.5,164.011547948175
"4971",7.02814001372684,12,4.97185998627316,87,109,2,4,1993-01-09 00:00:00,2005-01-09,2009-12-25,8.3,15,36.409067921153
"4981",14.0569663692519,17,2.94303363074811,88,97,2,4,1990-01-18 00:00:00,2007-01-18,2009-12-25,7.70093786063169,9.5,38.3701941236422
"4991",7.02402196293754,10,2.97597803706246,101,113,2,4,1997-01-07 00:00:00,2007-01-07,2009-12-26,12.8,16.5,40.6019488069954
"5001",15.0761839396019,18,2.92381606039808,133,141,2,4,1989-01-27 00:00:00,2007-01-27,2009-12-27,27.068654131351,27.5,32.0618696098404
"5021",9.08167467398765,12,2.91832532601235,105,120,2,4,1995-01-30 00:00:00,2007-01-30,2009-12-28,13.1827509875317,19.5,22.0963840464123
"5031",13.9862731640357,18,4.01372683596431,122,128,2,4,1987-12-28 00:00:00,2005-12-28,2009-12-29,24.4,26,68.8457583734296
"5041",11.0501029512697,16,4.94989704873027,83,105,1,7,1989-01-30 00:00:00,2005-01-30,2010-01-07,8.5,16,9.63873286781697
"5061",11.0501029512697,16,4.94989704873027,86,106,2,7,1989-02-04 00:00:00,2005-02-04,2010-01-12,8.78,16,156.002675372125
"5071",3.92518874399451,7,3.07481125600549,85,101,2,4,2000-01-07 00:00:00,2007-01-07,2010-01-31,6.92940532851927,11.5,11.5879796122686
"5081",7.90459849004804,13,5.09540150995196,90,127,2,4,1992-01-01 00:00:00,2005-01-01,2010-01-31,8.7,22,22.8166941986221
"5111",8.89636238846946,14,5.10363761153054,96,116,2,4,1990-12-30 00:00:00,2004-12-30,2010-02-01,9.8,16.9,5.36512218820698
"5121",7.92107069320522,13,5.07892930679478,106,130,1,4,1992-01-10 00:00:00,2005-01-10,2010-02-03,13,23,40.5613015998605
"5161",7.04941660947152,11,3.95058339052848,93,110,1,5,1996-01-07 00:00:00,2007-01-07,2010-12-16,9.11150836713994,16,7.43597997101652
"5221",6.02470830473576,10,3.97529169526424,78,103,1,4,1997-01-03 00:00:00,2007-01-03,2010-12-21,6,13.85,10.1817197053858
"5261",9.01098146877145,13,3.98901853122855,103,127,2,4,1993-12-31 00:00:00,2006-12-31,2010-12-23,12.4332846804893,24.93,19.0098875428572
"5271",17.0363761153054,22,4.96362388469458,133,155,1,4,1984-01-10 00:00:00,2006-01-10,2010-12-23,27.068654131351,44.8,50.8838923604848
"5301",5.02745367192862,9,3.97254632807138,85,105,2,4,1998-01-09 00:00:00,2007-01-09,2010-12-26,6.92940532851927,13.8,112.322069886157
"5321",11.01921757035,15,3.98078242964997,103,120,1,4,1992-01-10 00:00:00,2007-01-10,2010-12-30,15.9,22.55,67.9483181102137
"5331",7.03157172271791,13,5.96842827728209,81,101,1,4,1992-01-20 00:00:00,2005-01-20,2011-01-03,5.91,10,99.6920845371145
"5581",10.0789293067948,17,6.92107069320522,93,132,1,4,1987-01-21 00:00:00,2004-01-21,2010-12-16,9.11150836713994,27.5,119.608830411836
"5601",8.10089224433768,15,6.89910775566232,98,124,2,4,1989-01-30 00:00:00,2004-01-30,2010-12-17,10.6858902290312,25.5,4.6428136062777
"5701",9.20384351407001,18,8.79615648592999,92,133,2,5,1984-03-14 23:00:00,2002-03-15,2010-12-22,9.5,30.5,43.4472109681809
"5721",6.03774879890185,13,6.96225120109815,65,116,2,5,1991-01-12 00:00:00,2004-01-12,2010-12-22,3.5,19,297.606284972722
"5731",12.1228551818806,19,6.87714481811942,95,135,2,5,1985-02-12 00:00:00,2004-02-12,2010-12-22,10.4,37.5,5.6313990591089
"5801",9.02814001372684,14,4.97185998627316,94,119,1,5,1992-01-10 00:00:00,2006-01-10,2010-12-26,8.1,19.5,76.5584998828541
"5841",6.18462594371997,15,8.81537405628003,98,144,1,5,1987-03-14 23:00:00,2002-03-15,2010-12-29,10.7,36.5,97.3340830037156
"5881",17.0061770761839,22,4.99382292381606,137,159,2,5,1984-01-06 00:00:00,2006-01-06,2010-12-30,29.6233530582988,54.5,35.2314466621254
"5911",11.0034317089911,16,4.99656829100892,89,119,2,5,1990-01-12 00:00:00,2006-01-12,2011-01-06,11,15,24.5723058824679
"5941",10.9752916952642,15,4.02470830473576,108,116,1,5,1992-01-06 00:00:00,2007-01-06,2011-01-11,14.3629134523704,16,40.8393198092335
"5981",7.90940288263555,8,0.0905971173644475,99,96,1,5,1994-02-02 00:00:00,2002-02-02,2002-03-07,11.51,11,29.4250302090841
"6121",6.05353466026081,12,5.94646533973919,78,110,2,5,1993-02-04 00:00:00,2005-02-04,2011-01-10,5.93,15.9,504.17124890457
"6181",6.05628002745367,12,5.94371997254633,88,118,1,7,1993-01-24 00:00:00,2005-01-24,2010-12-29,7.76,17.7,253.414366141521
"6361",6.98833218943034,14,7.01166781056966,99,122,1,4,1991-01-11 00:00:00,2005-01-11,2012-01-09,11.8,24,109.326530608362
"6371",6.97940974605353,13,6.02059025394647,70,111,1,4,1993-01-07 00:00:00,2006-01-07,2012-01-09,3.96,16,27.7296735815066
"6401",10.984214138641,16,5.01578586135896,105,132,1,4,1991-01-11 00:00:00,2007-01-11,2012-01-12,13.1827509875317,30.5,116.292100871971
"6431",2.04667124227865,10,7.95332875772135,55,124,2,4,1994-02-09 00:00:00,2004-02-09,2012-01-15,1.6,23,238.931200071802
"6441",6.03637611530542,15,8.96362388469458,87,133,2,4,1988-02-08 00:00:00,2003-02-08,2012-01-17,10,39,183.856980489101
"6451",4.02539464653397,9,4.97460535346603,80,112,1,4,1998-01-31 00:00:00,2007-01-31,2012-01-17,6.2,16,223.086003978934
"6461",3.94852436513384,9,5.05147563486616,81,109,2,4,1998-01-03 00:00:00,2007-01-03,2012-01-17,7,15.9,20.2583507464935
"6471",5.93067947838023,13,7.06932052161977,92,138,2,4,1991-12-31 00:00:00,2004-12-31,2012-01-19,8.1,28,38.3506515333496
"6551",5.9334248455731,13,7.0665751544269,90,131,1,4,1992-01-03 00:00:00,2005-01-03,2012-01-21,9.1,26.58,60.2547824678021
"6571",9.97872340425532,15,5.02127659574468,96,121,1,4,1992-01-18 00:00:00,2007-01-18,2012-01-21,10.0358917126032,23.5,16.1985041292051
"6591",4.96156485929993,13,8.03843514070007,92,129,2,4,1991-01-15 00:00:00,2004-01-15,2012-01-21,9,22.5,4.80371773963939
"6601",10.0054907343857,18,7.99450926561428,108,133,1,4,1986-01-31 00:00:00,2004-01-31,2012-01-21,14.3629134523704,26.5,68.9332883337554
"6611",6.95538778311599,14,7.04461221688401,97,115,1,4,1991-01-11 00:00:00,2005-01-11,2012-01-21,10,20,73.4315618770669
"6621",10.9533287577213,19,8.04667124227865,80,125,1,4,1985-01-12 00:00:00,2004-01-12,2012-01-21,6.3,23,158.795915956719
"6631",4.94028826355525,10,5.05971173644475,105,116,1,4,1997-01-04 00:00:00,2007-01-04,2012-01-21,13.1827509875317,18.5,68.6880793850239
"6651",4.93685655456417,13,8.06314344543583,91,134,1,4,1991-01-07 00:00:00,2004-01-07,2012-01-22,8.52813735889224,32.5,30.642215348047
"6701",6.93617021276596,14,7.06382978723404,93,125,2,4,1991-01-08 00:00:00,2005-01-08,2012-01-25,9.36,26.5,12.609070260723
"6731",6,14,8,70,113,1,4,1990-02-02 00:00:00,2004-02-02,2012-01-25,4.2,16.5,92.5496112220963
"6761",3.03568977350721,11,7.96431022649279,56,104,1,6,1993-02-18 00:00:00,2004-02-18,2012-01-28,1.42,13.3,215.576475840286
